iso3c,type,year,epc_pp1990_share_gtco2_nobunkers_rcbyearend,pc_pp1990_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp1990_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend,ecpc_pp1990_share_gtco2_nobunkers_rcbyearend,cpc_pp1990_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,epc_pp2015_share_gtco2_nobunkers_rcbyearend,pc_pp2015_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp2015_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend,epc_pp2016_share_gtco2_nobunkers_rcbyearend,pc_pp2016_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp2016_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend
ALB,terr,1990,0.719664971788909,0.772350425612072,0.6625575205701386,0.5444692163080518,0.5385387492770989,NA,NA,NA,NA,NA,NA
ALB,terr,1991,0.7153716238472702,0.7680570776704332,0.6582641726284998,0.540175868366413,0.5342454013354601,NA,NA,NA,NA,NA,NA
ALB,terr,1992,0.7128526758221959,0.765538129645359,0.6557452246034255,0.5376569203413387,0.5317264533103858,NA,NA,NA,NA,NA,NA
ALB,terr,1993,0.7105129755066438,0.7631984293298069,0.6534055242878735,0.5353172200257866,0.5293867529948337,NA,NA,NA,NA,NA,NA
ALB,terr,1994,0.70858776928618,0.761273223109343,0.6514803180674096,0.5333920138053228,0.5274615467743698,NA,NA,NA,NA,NA,NA
ALB,terr,1995,0.7064971839510511,0.7591826377742141,0.6493897327322807,0.5313014284701939,0.525370961439241,NA,NA,NA,NA,NA,NA
ALB,terr,1996,0.7044782076816145,0.7571636615047775,0.6473707564628441,0.5292824522007573,0.5233519851698044,NA,NA,NA,NA,NA,NA
ALB,terr,1997,0.7029340754531822,0.7556195292763452,0.6458266242344118,0.527738319972325,0.5218078529413721,NA,NA,NA,NA,NA,NA
ALB,terr,1998,0.7011780892500113,0.7538635430731744,0.644070638031241,0.5259823337691542,0.5200518667382013,NA,NA,NA,NA,NA,NA
ALB,terr,1999,0.6981897200740272,0.7508751738971903,0.6410822688552569,0.52299396459317,0.5170634975622171,NA,NA,NA,NA,NA,NA
ALB,terr,2000,0.6951625925932075,0.7478480464163705,0.6380551413744371,0.5199668371123503,0.5140363700813974,NA,NA,NA,NA,NA,NA
ALB,terr,2001,0.6919395925932075,0.7446250464163705,0.6348321413744371,0.5167438371123503,0.5108133700813974,NA,NA,NA,NA,NA,NA
ALB,terr,2002,0.6881885925932074,0.7408740464163704,0.631081141374437,0.5129928371123502,0.5070623700813973,NA,NA,NA,NA,NA,NA
ALB,terr,2003,0.6838819610418112,0.7365674148649742,0.6267745098230408,0.508686205560954,0.5027557385300011,NA,NA,NA,NA,NA,NA
ALB,terr,2004,0.6797022368334611,0.7323876906566241,0.6225947856146907,0.5045064813526039,0.49857601432165094,NA,NA,NA,NA,NA,NA
ALB,terr,2005,0.675437722331693,0.728123176154856,0.6183302711129226,0.5002419668508358,0.4943114998198829,NA,NA,NA,NA,NA,NA
