region,year,n_iso3c,GtCO2,GtCO2_cmltv1990,GtCO2_cmltv2015,GtCO2_cmltv2016,epc_pp1990_share_gtco2_nobunkers_rcbyearend,pc_pp1990_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp1990_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend,ecpc_pp1990_share_gtco2_nobunkers_rcbyearend,cpc_pp1990_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,epc_pp2015_share_gtco2_nobunkers_rcbyearend,pc_pp2015_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp2015_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend,epc_pp2016_share_gtco2_nobunkers_rcbyearend,pc_pp2016_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp2016_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend
EU27,1990,27,3.8732442385022394,3.8732442385022394,0,0,88.23909456863636,23.0303938862416,33.36847927152122,73.59710821701692,23.20562093720108,NA,NA,NA,NA,NA,NA
EU27,1991,27,3.807326496100078,7.680570734602317,0,0,84.43176807253629,19.223067390141523,29.56115277542114,69.78978172091685,19.398294441101,NA,NA,NA,NA,NA,NA
EU27,1992,27,3.6813007527356896,11.361871487338007,0,0,80.75046731980059,15.541766637405832,25.87985202268545,66.10848096818117,15.716993688365312,NA,NA,NA,NA,NA,NA
EU27,1993,27,3.6124650993041714,14.974336586642178,0,0,77.13800222049642,11.929301538101662,22.26738692338128,62.496015868876995,12.104528589061141,NA,NA,NA,NA,NA,NA
EU27,1994,27,3.5933756957797915,18.56771228242197,0,0,73.54462652471663,8.335925842321869,18.674011227601486,58.9026401730972,8.511152893281348,NA,NA,NA,NA,NA,NA
EU27,1995,27,3.639705013350711,22.207417295772682,0,0,69.90492151136591,4.696220828971159,15.034306214250776,55.26293515974649,4.871447879930638,NA,NA,NA,NA,NA,NA
EU27,1996,27,3.724620894986014,25.932038190758696,0,0,66.18030061637991,0.9715999339851447,11.309685319264762,51.53831426476047,1.1468269849446242,NA,NA,NA,NA,NA,NA
EU27,1997,27,3.658195445079075,29.59023363583777,0,0,62.522105171300836,-2.68659551109393,7.651489874185688,47.8801188196814,-2.51136846013445,NA,NA,NA,NA,NA,NA
EU27,1998,27,3.64848588233104,33.23871951816881,0,0,58.87361928896979,-6.335081393424971,4.003003991854648,44.23163293735036,-6.159854342465491,NA,NA,NA,NA,NA,NA
EU27,1999,27,3.5929738389911976,36.831693357160006,0,0,55.28064544997859,-9.928055232416169,0.41003015286344957,40.63865909835916,-9.752828181456689,NA,NA,NA,NA,NA,NA
EU27,2000,27,3.604129972122154,40.43582332928216,0,0,51.67651547785644,-13.53218520453832,-3.1940998192587027,37.03452912623701,-13.35695815357884,NA,NA,NA,NA,NA,NA
EU27,2001,27,3.6609277302026673,44.09675105948483,0,0,48.015587747653775,-17.193112934740988,-6.85502754946137,33.37360139603434,-17.01788588378151,NA,NA,NA,NA,NA,NA
EU27,2002,27,3.6615678807631022,47.75831894024793,0,0,44.354019866890674,-20.85468081550409,-10.516595430224474,29.712033515271237,-20.67945376454461,NA,NA,NA,NA,NA,NA
EU27,2003,27,3.745806995886844,51.50412593613478,0,0,40.60821287100383,-24.600487811390934,-14.262402426111317,25.966226519384396,-24.425260760431456,NA,NA,NA,NA,NA,NA
EU27,2004,27,3.7567276575556656,55.26085359369044,0,0,36.851485213448164,-28.357215468946602,-18.019130083666983,22.209498861828727,-28.18198841798712,NA,NA,NA,NA,NA,NA
EU27,2005,27,3.7375736851140124,58.99842727880445,0,0,33.11391152833415,-32.094789154060614,-21.756703768780994,18.471925176714716,-31.919562103101136,NA,NA,NA,NA,NA,NA
EU27,2006,27,3.74725269368256,62.74567997248701,0,0,29.36665883465159,-35.84204184774317,-25.503956462463552,14.724672483032158,-35.66681479678369,NA,NA,NA,NA,NA,NA
EU27,2007,27,3.710943649734763,66.45662362222177,0,0,25.65571518491683,-39.552985497477934,-29.214900112198315,11.013728833297396,-39.377758446518456,NA,NA,NA,NA,NA,NA
EU27,2008,27,3.6269964712849894,70.08362009350677,0,0,22.028718713631836,-43.179981968762924,-32.84189658348331,7.3867323620124035,-43.004754917803446,NA,NA,NA,NA,NA,NA
EU27,2009,27,3.3329474307381424,73.41656752424491,0,0,18.695771282893695,-46.51292939950107,-36.17484401422145,4.053784931274261,-46.33770234854159,NA,NA,NA,NA,NA,NA
EU27,2010,27,3.4339422641759128,76.85050978842082,0,0,15.26182901871778,-49.94687166367698,-39.60878627839737,0.6198426670983475,-49.7716446127175,NA,NA,NA,NA,NA,NA
EU27,2011,27,3.3333375920645443,80.18384738048536,0,0,11.928491426653238,-53.280209255741525,-42.942123870461906,-2.7134949249661933,-53.10498220478204,NA,NA,NA,NA,NA,NA
EU27,2012,27,3.260800835989821,83.44464821647519,0,0,8.667690590663415,-56.541010091731344,-46.202924706451725,-5.974295760956016,-56.365783040771866,NA,NA,NA,NA,NA,NA
EU27,2013,27,3.1808384862051917,86.62548670268038,0,0,5.486852104458225,-59.721848577936534,-49.38376319265692,-9.155134247161207,-59.546621526977056,NA,NA,NA,NA,NA,NA
EU27,2014,27,3.0437949597302154,89.6692816624106,0,0,2.443057144728008,-62.765643537666755,-52.427558152387135,-12.198929206891425,-62.59041648670728,NA,NA,NA,NA,NA,NA
